Electrolyte,Ionic Conductivity,LIC,Solvent_1,Solvent_2,Solvent_3,Solvent_4,Solvent_5,Salt_1,Salt_2,Salt_3,Temperature,Reference
3.1 M LiFSI/Diethyl Ether,2.79,0.45,CCOCC:9.624932542,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.1,,,25.0,71
4.5 M LiFSI/Diethyl Ether,0.9,-0.05,CCOCC:9.624932542,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.5,,,25.0,71
2.6 M LiFSI/Diethyl Ether:PFB (1:1),1.62,0.21,CCOCC:4.53541,CC(F)(F)CC(F)(F)F:4.53541,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.6,,,25.0,71
2.0 M LiFSI/Diethyl Ether:PFB (1:2),1.34,0.13,CCOCC:2.96667,CC(F)(F)CC(F)(F)F:5.93334,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,71
1.3 M LiFSI/Diethyl Ether:PFB (1:3),1.07,0.03,CCOCC:2.20425,CC(F)(F)CC(F)(F)F:6.61275,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.3,,,25.0,71
3.0 M LiFSI/Diethyl Ether:FB (1:1),1.73,0.24,CCOCC:5.04764,C1=CC=C(C=C1)F:5.04764,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,71
1.9 M LiFSI/Diethyl Ether:FB (1:2),1.35,0.13,CCOCC:3.42081,C1=CC=C(C=C1)F:6.84162,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.9,,,25.0,71
1.5 M LiFSI/Diethyl Ether:FB (1:3),1.08,0.03,CCOCC:2.58703,C1=CC=C(C=C1)F:7.76109,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.5,,,25.0,71
2.3 M LiFSI/Diethyl Ether:TTE (1:1),0.95,-0.02,CCOCC:3.91609,FC(F)C(F)(F)COC(F)(F)C(F)F:3.91609,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.3,,,25.0,71
1.2 M LiFSI/Diethyl Ether:TTE (1:2),0.55,-0.26,CCOCC:2.45811,FC(F)C(F)(F)COC(F)(F)C(F)F:4.91622,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,71
0.8 M LiFSI/Diethyl Ether:TTE (1:3),0.36,-0.44,CCOCC:1.79123,FC(F)C(F)(F)COC(F)(F)C(F)F:5.37369,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.8,,,25.0,71
0.9 M LiFSI/THF,19.79,1.3,C1CCOC1:12.31554,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,71
2.4 M LiFSI/THF,15.35,1.19,C1CCOC1:12.31554,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.4,,,25.0,71
3.6 M LiFSI/THF,6.06,0.78,C1CCOC1:12.31554,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.6,,,25.0,71
5.3 M LiFSI/THF,0.93,-0.03,C1CCOC1:12.31554,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:5.3,,,25.0,71
2.4 M LiFSI/THF:PFB (1:1),2.61,0.42,C1CCOC1:5.05589,CC(F)(F)CC(F)(F)F:5.05589,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.4,,,25.0,71
1.7 M LiFSI/THF:PFB (1:2),2.53,0.4,C1CCOC1:3.18087,CC(F)(F)CC(F)(F)F:6.36174,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.7,,,25.0,71
1.2 M LiFSI/THF:PFB (1:3),1.99,0.3,C1CCOC1:2.32034,CC(F)(F)CC(F)(F)F:6.96104,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,71
3.0 M LiFSI/THF:FB (1:1),2.52,0.4,C1CCOC1:5.7008,C1=CC=C(C=C1)F:5.7008,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,71
2.0 M LiFSI/THF:FB (1:2),2.62,0.42,C1CCOC1:3.70879,C1=CC=C(C=C1)F:7.41758,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,71
1.6 M LiFSI/THF:FB (1:3),2.29,0.36,C1CCOC1:2.74842,C1=CC=C(C=C1)F:8.24526,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,71
2.0 M LiFSI/THF:TTE (1:1),1.57,0.2,C1CCOC1:4.29815,FC(F)C(F)(F)COC(F)(F)C(F)F:4.29815,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,71
1.4 M LiFSI/THF:TTE (1:2),1.2,0.08,C1CCOC1:2.60336,FC(F)C(F)(F)COC(F)(F)C(F)F:5.20672,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.4,,,25.0,71
1.0 M LiFSI/THF:TTE (1:3),0.87,-0.06,C1CCOC1:1.86714,FC(F)C(F)(F)COC(F)(F)C(F)F:5.60142,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,71
3.3 M LiFSI/DMC,5.16,0.71,COC(=O)OC:11.87859,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.3,,,25.0,71
4.2 M LiFSI/DMC,2.74,0.44,COC(=O)OC:11.87859,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.2,,,25.0,71
5.2 M LiFSI/DMC,1.58,0.2,COC(=O)OC:11.87859,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:5.2,,,25.0,71
5.3 M LiFSI/DMC,1.25,0.1,COC(=O)OC:11.87859,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:5.3,,,25.0,71
2.4 M LiFSI/DMC:PFB (1:1),2.69,0.43,COC(=O)OC:4.98068,CC(F)(F)CC(F)(F)F:4.98068,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.4,,,25.0,71
1.6 M LiFSI/DMC:PFB (1:2),2.34,0.37,COC(=O)OC:3.15093,CC(F)(F)CC(F)(F)F:6.30186,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,71
1.2 M LiFSI/DMC:PFB (1:3),1.84,0.26,COC(=O)OC:2.30437,CC(F)(F)CC(F)(F)F:6.91313,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,71
2.7 M LiFSI/DMC:FB (1:1),2.54,0.4,COC(=O)OC:5.60535,C1=CC=C(C=C1)F:5.60535,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.7,,,25.0,71
1.9 M LiFSI/DMC:FB (1:2),2.38,0.38,COC(=O)OC:3.66815,C1=CC=C(C=C1)F:7.33631,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.9,,,25.0,71
1.4 M LiFSI/DMC:FB (1:3),1.51,0.18,COC(=O)OC:2.72604,C1=CC=C(C=C1)F:8.17812,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.4,,,25.0,71
2.0 M LiFSI/DMC:TTE (1:1),1.52,0.18,COC(=O)OC:4.24367,FC(F)C(F)(F)COC(F)(F)C(F)F:4.24367,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,71
1.3 M LiFSI/DMC:TTE (1:2),1.1,0.04,COC(=O)OC:2.58327,FC(F)C(F)(F)COC(F)(F)C(F)F:5.16655,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.3,,,25.0,71
0.9 M LiFSI/DMC:TTE (1:3),0.67,-0.17,COC(=O)OC:1.85678,FC(F)C(F)(F)COC(F)(F)C(F)F:5.57036,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,71
3.4 M LiFSI/DEC,1.48,0.17,O=C(OCC)OCC:8.25361889443833,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.4,,,25.0,71
4.0 M LiFSI/DEC,1.26,0.1,O=C(OCC)OCC:8.25361889443833,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,25.0,71
"0.5 M LiFSI/1,4-DX",0.65,-0.19,O1CCOCC1:10.3789288162146,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.5,,,25.0,71
"0.9 M LiFSI/1,4-DX",2.0,0.3,O1CCOCC1:10.3789288162146,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,71
"1.3 M LiFSI/1,4-DX",2.71,0.43,O1CCOCC1:10.3789288162146,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.3,,,25.0,71
2.0 M LiFSI/TEP,1.6,0.2,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,71
2.5 M LiFSI/TEP,0.76,-0.12,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.5,,,25.0,71
3.1 M LiFSI/TEP,0.45,-0.35,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.1,,,25.0,71
4.7 M LiFSI/EA,2.31,0.36,O=C(OCC)C:10.237900662853,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.7,,,25.0,71
2.7 M LiFSI/EA:FB (1:1),3.29,0.52,O=C(OCC)C:5.21127,C1=CC=C(C=C1)F:5.21127,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.7,,,25.0,71
1.9 M LiFSI/EA:FB (1:2),3.25,0.51,O=C(OCC)C:3.49519,C1=CC=C(C=C1)F:6.99038,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.9,,,25.0,71
1.4 M LiFSI/EA:FB (1:3),2.49,0.4,O=C(OCC)C:2.62934,C1=CC=C(C=C1)F:7.88803,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.4,,,25.0,71
2.7 M LiFSI/EA:TTE (1:0.5),2.57,0.41,O=C(OCC)C:5.76681,FC(F)C(F)(F)COC(F)(F)C(F)F:2.8834,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.7,,,25.0,71
2.0 M LiFSI/EA:TTE (1:1),2.47,0.39,O=C(OCC)C:4.01387,FC(F)C(F)(F)COC(F)(F)C(F)F:4.01387,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,71
1.3 M LiFSI/EA:TTE (1:2),1.54,0.19,O=C(OCC)C:2.49628,FC(F)C(F)(F)COC(F)(F)C(F)F:4.99256,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.3,,,25.0,71
0.9 M LiFSI/PC,8.63,0.94,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,71
1.7 M LiFSI/PC,6.02,0.78,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.7,,,25.0,71
2.4 M LiFSI/PC,3.72,0.57,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.4,,,25.0,71
2.9 M LiFSI/PC,2.75,0.44,CC1COC(=O)O1:11.7545646892877,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.9,,,25.0,71
1.7 M LiFSI/PC:PFB (1:0.5),3.34,0.52,CC1COC(=O)O1:6.97503,CC(F)(F)CC(F)(F)F:3.48751,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.7,,,25.0,71
1.1 M LiFSI/PC:PFB (1:1),5.4,0.73,CC1COC(=O)O1:4.95875,CC(F)(F)CC(F)(F)F:4.95875,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.1,,,25.0,71
0.6 M LiFSI/PC:PFB (1:2),5.44,0.74,CC1COC(=O)O1:3.14214,CC(F)(F)CC(F)(F)F:6.28428,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.6,,,25.0,71
3.3 M LiFSI/PC:FB (1:0.5),1.46,0.16,CC1COC(=O)O1:7.56537,C1=CC=C(C=C1)F:3.78269,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.3,,,25.0,71
1.6 M LiFSI/PC:FB (1:1),4.38,0.64,CC1COC(=O)O1:5.57759,C1=CC=C(C=C1)F:5.57759,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,71
0.8 M LiFSI/PC:FB (1:2),5.97,0.78,CC1COC(=O)O1:3.65624,C1=CC=C(C=C1)F:7.31249,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.8,,,25.0,71
2.1 M LiFSI/PC:TTE (1:0.5),1.61,0.21,CC1COC(=O)O1:6.21878,FC(F)C(F)(F)COC(F)(F)C(F)F:3.10939,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.1,,,25.0,71
1.4 M LiFSI/PC:TTE (1:1),2.02,0.31,CC1COC(=O)O1:4.22774,FC(F)C(F)(F)COC(F)(F)C(F)F:4.22774,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.4,,,25.0,71
0.8 M LiFSI/PC:TTE (1:2),1.64,0.21,CC1COC(=O)O1:2.57737,FC(F)C(F)(F)COC(F)(F)C(F)F:5.15472,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.8,,,25.0,71
0.9 M LiFSI/EC,7.02,0.85,C1COC(=O)O1:14.9894392587041,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,71
2.4 M LiFSI/EC,5.24,0.72,C1COC(=O)O1:14.9894392587041,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.4,,,25.0,71
3.5 M LiFSI/EC,2.15,0.33,C1COC(=O)O1:14.9894392587041,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3.5,,,25.0,71
4.6 M LiFSI/EC,1.28,0.11,C1COC(=O)O1:14.9894392587041,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.6,,,25.0,71
2.0 M LiFSI in DME,6.79,0.83,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,72
2.0 M LiFSI in DEE,6.43,0.81,CCOCCOCC:7.12520732491622,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,72
2.0 M LiFSI in DPE,2.72,0.43,CC(C)OCCOC(C)C:5.60783455520298,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,72
2.0 M LiFSI in DEP,1.51,0.18,CCOCC(C)OCC:6.27846109623444,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,72
"LiFSI:DMDC 1:2 (molar ratio), no additive",7.12,0.85,COC(=O)OC(=O)OC:2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,22.0,73
"LiFSI:DMDC 2:3 (molar ratio), no additive",4.51,0.65,COC(=O)OC(=O)OC:3,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,22.0,73
"LiFSI:DMDC 4:5 (molar ratio), no additive",3.15,0.5,COC(=O)OC(=O)OC:5,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,22.0,73
LiFSI-DMDC/TTE 2/1 V/V bi-solvent electrolyte; LiFSI:DMDC 1:2,5.08,0.71,COC(=O)OC(=O)OC:2,FC(F)C(F)(F)COC(F)(F)C(F)F:0.708,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,22.0,73
LiFSI-DMDC/TTE 2/1 V/V bi-solvent electrolyte; LiFSI:DMDC 2:3,3.42,0.53,COC(=O)OC(=O)OC:3,FC(F)C(F)(F)COC(F)(F)C(F)F:1.062,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,22.0,73
LiFSI-DMDC/TTE 2/1 V/V bi-solvent electrolyte; LiFSI:DMDC 4:5,2.8,0.45,COC(=O)OC(=O)OC:5,FC(F)C(F)(F)COC(F)(F)C(F)F:1.770633716,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,22.0,73
0.2 M LiClO4 + 1.0 M LiFSI in FEC/EMC (3/7 v/v),7.97,0.9,C1C(OC(=O)O1)F:4.112999037,CCOC(=O)OC:6.764389457,,,,[Li+].[O-]Cl(=O)(=O)=O:0.2,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,25.0,74
0.4 M LiClO4 + 0.8 M LiFSI in FEC/EMC (3/7 v/v),7.4,0.87,C1C(OC(=O)O1)F:4.112999037,CCOC(=O)OC:6.764389457,,,,[Li+].[O-]Cl(=O)(=O)=O:0.4,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.8,,25.0,74
0.6 M LiClO4 + 0.6 M LiFSI in FEC/EMC (3/7 v/v),6.78,0.83,C1C(OC(=O)O1)F:4.112999037,CCOC(=O)OC:6.764389457,,,,[Li+].[O-]Cl(=O)(=O)=O:0.6,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.6,,25.0,74
0.8 M LiClO4 + 0.4 M LiFSI in FEC/EMC (3/7 v/v),6.26,0.8,C1C(OC(=O)O1)F:4.112999037,CCOC(=O)OC:6.764389457,,,,[Li+].[O-]Cl(=O)(=O)=O:0.8,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.4,,25.0,74
1.0 M LiClO4 + 0.2 M LiFSI in FEC/EMC (3/7 v/v),5.53,0.74,C1C(OC(=O)O1)F:4.112999037,CCOC(=O)OC:6.764389457,,,,[Li+].[O-]Cl(=O)(=O)=O:1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.2,,25.0,74
"1 M LiBF4 + 1 M LiDFOB in tFEP/FEC (1:2, vol %)",3.03,0.48,CCOC(=O)CC(F)(F)F:2.545376895,C1C(OC(=O)O1)F:9.13999786,,,,[Li+].F[B-](F)(F)(F):1,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,,25.0,75
"1 M LiBF4 + 1 M LiDFOB in mFEP/FEC (1:2, vol %)",3.2,0.51,CCOC(=O)C(C)F:2.766677767,C1C(OC(=O)O1)F:9.13999787,,,,[Li+].F[B-](F)(F)(F):1,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,,25.0,75
"1 M LiBF4 + 1 M LiDFOB in pFEP/FEC (1:2, vol %)",1.19,0.08,CCOC(=O)C(C(F)(F)F)(F)F:2.254269055,C1C(OC(=O)O1)F:9.13999788,,,,[Li+].F[B-](F)(F)(F):1,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,,25.0,75
1 M LiBF4 + 1 M LiDFOB in pure tFEP,0.54,-0.27,CCOC(=O)CC(F)(F)F:7.636130685,,,,,[Li+].F[B-](F)(F)(F):1,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,,25.0,75
1 M LiPF6 in AN,44.13,1.64,CC#N:19.14551566,,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,75
1 M LiFSI in AN,43.18,1.64,CC#N:19.14551567,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.1,75
1 M LiTFSI in AN,34.15,1.53,CC#N:19.14551568,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,26.0,75
1 M LiClO4 in AN,29.16,1.46,CC#N:19.14551569,,,,,[Li+].[O-]Cl(=O)(=O)=O:1,,,25.2,75
1 M LiDFOB in AN,28.22,1.45,CC#N:19.14551570,,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,,,27.0,75
1 M LiBF4 in AN,17.55,1.24,CC#N:19.14551571,,,,,[Li+].F[B-](F)(F)(F):1,,,25.3,75
1 M LiOTf in AN,10.32,1.01,CC#N:19.14551572,,,,,[Li+].[O-]S(=O)(=O)C(F)(F)F:1,,,28.0,75
0.5 M LiTFSI in FEC,3.27,0.52,C1C(OC(=O)O1)F:13.70999679,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.5,,,25.0,77
0.1 M LiTFSI in FEC:FB (2:8 by volume),0.72,-0.14,C1C(OC(=O)O1)F:2.741999358,C1=CC=C(C=C1)F:8.491155048,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:0.1,,,25.0,77
1.5 M LiTFSI in TEP,4.14,0.62,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1.5,,,25.0,78
1.5 M LiTFSI in TEP with 0.47 wt% LiNO3,4.07,0.61,CCOP(=O)(OCC)OCC:5.88516247330541,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1.5,[Li+].[N+](=O)([O-])[O-]:0.1024276215,,25.0,78
1.5 M LiTFSI in TEP with 5.00 wt% DME,4.6,0.66,CCOP(=O)(OCC)OCC:5.88516247330541,COCCOC:0.7569865623,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1.5,,,25.0,78
1.5 M LiTFSI in TEP with 4.53 wt% DME and 0.47 wt% LiNO3,4.31,0.63,CCOP(=O)(OCC)OCC:5.88516247330541,COCCOC:0.7569865623,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1.5,[Li+].[N+](=O)([O-])[O-]:0.1024276215,,25.0,78
"1 M LiFSI BTP/5FB (BTP: 1,3-bis(trimethylsilyloxy)propane; FB: fluorobenzene; mole ratio BTP:FB = 1:5)",1.6,0.2,C[Si](C)(C)OCCCO[Si](C)(C)C:1.3632714621122,C1=CC=C(C=C1)F:6.816357310561,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,80
"1 M LiFSI BTP/5DCE (BTP: 1,3-bis(trimethylsilyloxy)propane; DCE: 1,2-dichloroethane; mole ratio BTP:DCE = 1:5)",2.3,0.36,C[Si](C)(C)OCCCO[Si](C)(C)C:1.51908,C(CCl)Cl:7.59542,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,80
"LiFSI/DME/TTE (1:1.2:3, mole ratio)",2.4,0.38,COCCOC:1.2,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,80
"LiFSI/DMC/TTE (1:1.5:1.5, mole ratio)",1.7,0.23,COC(=O)OC:1.5,FC(F)C(F)(F)COC(F)(F)C(F)F:1.5,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,80
"1 M LiFSI in 1,4-dioxane",1.2,0.08,O1CCOCC1:10.3789288162146,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,80
"0.5 M LiFSI in 1,4-dioxane",0.54,-0.27,O1CCOCC1:10.3789288162146,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.5,,,25.0,80
1.2 M LiPF6 in EC:EMC (3:7 vol/vol),8.18,0.91,C1COC(=O)O1:4.496831778,CCOC(=O)OC:6.764389457,,,,[Li+].F[P-](F)(F)(F)(F)F:1.2,,,25.0,81
1.2 M LiPF6 in FEC:EMC (3:7 vol/vol),9.42,0.97,C1C(OC(=O)O1)F:4.112999037,CCOC(=O)OC:6.764389457,,,,[Li+].F[P-](F)(F)(F)(F)F:1.2,,,25.0,81
1.2 M LiPF6 in DFEC:EMC (3:7 vol/vol),7.72,0.89,FC1OC(=O)OC1F:3.676233474,CCOC(=O)OC:6.764389457,,,,[Li+].F[P-](F)(F)(F)(F)F:1.2,,,25.0,81
1.2 M LiPF6 in TFPC:EMC (3:7 vol/vol),7.36,0.87,O=C1OCC(C(F)(F)F)O1:2.987312572,CCOC(=O)OC:6.764389457,,,,[Li+].F[P-](F)(F)(F)(F)F:1.2,,,25.0,81
1.2 M LiPF6 in NPFEC:EMC (3:7 vol/vol),4.34,0.64,C1C(OC(=O)O1)CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F:1.358907875,CCOC(=O)OC:6.764389457,,,,[Li+].F[P-](F)(F)(F)(F)F:1.2,,,25.0,81
LiFSI:DEE:TTE (1:1.6:3 molar ratio),7.22,0.86,CCOCCOCC:1.6,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,82
LiFSI:ClDEE:TTE (1:1.6:3 molar ratio),1.52,0.18,ClCCOCCOCCCl:1.6,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,82
LiFSI:FDEE:TTE (1:1.6:3 molar ratio),3.18,0.5,FCCOCCOCCF:1.6,FC(F)C(F)(F)COC(F)(F)C(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,82
0.3 M LiFSI in DME,6.19,0.79,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.3,,,25.0,84
1 M LiFSI in DME,17.14,1.23,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,84
5 M LiFSI in DME,7.3,0.86,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:5,,,25.0,84
1 M LiFSI in DME/HFE (1:4 by vol.),4.45,0.65,COCCOC:1.9263204616,FC(F)C(F)(F)COC(F)(F)C(F)F:5.281926216,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,84
0.3 M LiFSI in DME/HFE (1:15.7 by vol.),0.85,-0.07,COCCOC:0.576742653173653,FC(F)C(F)(F)COC(F)(F)C(F)F:6.20705401131737,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.3,,,25.0,84
1 M LiTFSI in DOL/DME (1:1 by vol.),13.15,1.12,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,84
1.25 m LiPF6 in DEC with 20% FEC and 5% VC,5.99,0.78,O=C(OCC)OCC:6.288471538,C1C(OC(=O)O1)F:2.61142796,C1=COC(=O)O1:0.7471086895,,,[Li+].F[P-](F)(F)(F)(F)F:1.25,,,25.0,87
"1.25 m LiPF6 in ethyl(2,2,2-trifluoroethyl) carbonate (asymF-DEC) with 20% FEC and 5% VC",5.52,0.74,O=C(OCC(F)(F)(F))OCC:5.547162502,C1C(OC(=O)O1)F:2.61142796,C1=COC(=O)O1:0.7471086895,,,[Li+].F[P-](F)(F)(F)(F)F:1.25,,,25.0,87
"1.25 m LiPF6 in bis(2,2,2-trifluoroethyl) carbonate (symF-DEC) with 20% FEC and 5% VC",1.67,0.22,O=C(OCC(F)(F)(F))OCC(F)(F)(F):5.089026366,C1C(OC(=O)O1)F:2.61142796,C1=COC(=O)O1:0.7471086895,,,[Li+].F[P-](F)(F)(F)(F)F:1.25,,,25.0,87
